,Date,Open,Adj Close,Predicted_Label
169,2020-07-24,146.5,150.44549560546875,1
145,2020-07-31,162.1999969482422,158.23399353027344,0
326,2020-08-12,155.39999389648438,158.11199951171875,1
230,2020-08-14,158.90899658203125,157.4010009765625,0
311,2020-08-20,162.60000610351562,164.86849975585938,1
262,2020-08-31,170.44949340820312,172.54800415039062,1
252,2020-09-01,174.47900390625,174.95599365234375,1
231,2020-09-02,177.35000610351562,176.57249450683594,0
318,2020-09-10,165.36099243164062,158.7554931640625,0
48,2020-09-18,151.58700561523438,147.74549865722656,0
41,2020-09-21,145.3249969482422,148.02349853515625,1
112,2020-09-24,148.88949584960938,150.989501953125,1
273,2020-09-30,157.0570068359375,157.43649291992188,1
287,2020-10-02,157.68150329589844,156.25,0
247,2020-10-06,158.25,154.9980010986328,0
136,2020-10-15,164.60049438476562,166.9324951171875,1
67,2020-10-20,161.11399841308594,160.85049438476562,0
210,2020-11-09,161.55149841308594,157.18699645996094,0
152,2020-11-16,154.66000366210938,156.55299377441406,1
113,2020-11-20,155.8509979248047,154.97000122070312,0
109,2020-11-23,155.8350067138672,154.91949462890625,0
232,2020-11-24,155.02499389648438,155.9029998779297,1
319,2020-11-25,157.093505859375,159.2534942626953,1
69,2020-12-11,154.83299255371094,155.8209991455078,1
282,2020-12-15,159.05050659179688,158.25599670410156,0
268,2020-12-23,160.25,159.2635040283203,0
166,2021-01-14,158.37600708007812,156.37350463867188,0
182,2021-01-26,164.8179931640625,166.30650329589844,1
215,2021-01-28,161.7519989013672,161.88099670410156,1
153,2021-02-04,166.5,166.5500030517578,1
61,2021-02-16,162.70249938964844,163.44749450683594,1
242,2021-02-19,166.4114990234375,162.4949951171875,0
196,2021-02-23,156.35150146484375,159.72500610351562,1
258,2021-02-24,158.33749389648438,157.97650146484375,1
154,2021-03-09,150.89950561523438,153.1425018310547,1
90,2021-03-11,155.20050048828125,155.67950439453125,1
149,2021-03-17,153.66099548339844,156.7864990234375,1
310,2021-03-19,151.4615020751953,153.7480010986328,1
235,2021-03-24,157.552001953125,154.35350036621094,0
50,2021-04-08,165.5449981689453,164.96499633789062,0
158,2021-04-13,170.04249572753906,170.0,1
68,2021-04-14,170.20199584960938,166.64999389648438,0
137,2021-04-15,168.5500030517578,168.95449829101562,1
297,2021-04-20,168.67999267578125,166.7344970703125,0
261,2021-04-22,168.58399963378906,165.45199584960938,0
83,2021-04-27,172.17349243164062,170.8715057373047,0
